poly.CDSGS14.CamiguinSur	CDSGS14
everetti.ACD5593.Mindanao	ACD5593
everetti.ACD5507.Mindanao	ACD5507
everetti.ACD5609.Mindanao	ACD5609
everetti.ACD5611.Mindanao	ACD5611
everetti.ACD5621.Mindanao	ACD5621
albotuberculata.EMD533.Bahi.Maragusan.Mindanao	EMD533
albotuberculata.CDS2750.Taft.Samar	CDS2750
albotuberculata.ACD4472.Balatucan.Mindanao	ACD4472
albotuberculata.ACD4382.Balatucan.Mindanao	ACD4382
albotuberculata.RMB4396.Burauen.Leyte	RMB4396
albotuberculata.CDS2751.Taft.Samar	CDS2751
albotuberculata.ACD4348.Balatucan.Mindanao	ACD4348
everettiACD1624.Marbol.River.Mt.Apo.Mindanao	Marbol
everetti.ACD1652.Marbol.River.Mt.Apo.Mindanao	ACD1652
sp.green.MVD066.Mingan	MVD066
sp.green.MVD068.Mingan	MVD068
sp.green.DSB3728.Mingan	DSB3728
sp.green.MVD074.Mingan	MVD074
sp.green.DSB3745.Mingan	DSB3745
sp.green.MVD069.Mingan	MVD069
sp.green.RMB12884.Minoli.Aurora	RMB12884
sp.green.RMB12885.Minoli.Aurora	RMB12885
sp.green.ELR1120.Maddiangat.Palali	ELR1120
sp.green.RMB13256.Maddiangat.Palali	RMB13256
sp.green.RMB13316.Maddiangat.Palali	RMB13316
sp.green.ELR1110.Maddiangat.Palali	ELR1110
sp.green.RMB13309.Maddiangat.Palali	RMB13309
sp.green.RMB13168.Maddiangat.Palali	RMB13168
igorota.ELR1152.Maddiangat.Palali	ELR1152
luzonensis.ACD2784.Dibanti.Mariano.Isabela	ACD2784
n.sp.Visayas.CDS4374.MtBungol.Silay.Nergros	CDS4374
n.sp.Visayas.CDS4365.MtBungol.Silay.Nergros	CDS4365
n.sp.Visayas.CDS4292.MtBungol.Silay.Nergros	CDS4292
n.sp.Visayas.CDS4366.MtBungol.Silay.Nergros	CDS4366
n.sp.Visayas.CDS4367.MtBungol.Silay.Nergros	CDS4367
n.sp.Visayas.CDS4343.MtBungol.Silay.Nergros	CDS4343
n.sp.Visayas.RMB4343.NUMBER_ERROR?	RMB4343
n.sp.Visayas.CDS4344.MtBungol.Silay.Nergros	CDS4344
n.sp.Visayas.CDS4197.MtBungol.Silay.Nergros	CDS4197
n.sp.Visayas.CDS4394.MtBungol.Silay.Nergros	CDS4394
n.sp.Visayas.CDS4392.MtBungol.Silay.Nergros	CDS4392
n.sp.Visayas.CDS4375.MtBungol.Silay.Nergros	CDS4375
n.sp.Visayas.CDS4393.MtBungol.Silay.Nergros	CDS4393
n.sp.Visayas.CDS4245.MtBungol.Silay.Nergros.NUMBER_ERROR?	CDS4245
n.sp.Visayas.CWL054.Dumaguete.Valencia.Negros	CWL054
n.sp.Visayas.CWL53.Dumaguete.Valencia.Negros	CWL53
n.sp.Visayas.RMB3246.CampLookout.Negros	RMB3246
n.sp.Visayas.RMB4109.CampLookout.Negros	RMB4109
n.sp.Visayas.RMB3247.CampLookout.Negros	RMB3247
n.sp.Visayas.RMB4108.Lake.Balinsasayo.Negros	RMB4108Lake
n.sp.Visayas.GVAG231.Sibalom.Antique.Panay	GVAG231
n.sp.Visayas.GVAG232.Sibalom.Antique.Panay	GVAG232
n.sp.Visayas.GVAG225.Sibalom.Antique.Panay	GVAG225
luzonensis.ACD2743.Dibanti.Dibulan.SanMariano	ACD2743
luzonensis.ACD2223.Dunoy.SanMarinano.Isabela	ACD2223
luzonensis.ACD2264.Dunoy.SanMariano.Isabela	ACD2264
luzonensis.ACD2295.Dunoy.SanMariano.Isabela.NUMBER_ERROR	ACD2295
luzonensis.ACD2741.Dibanti.Dibulan.SanMariano	ACD2741
luzonensis.ACD1817.Apaya.SanMariano.Isabela	ACD1817
luzonensis.ACD1894.Apaya.SanMariano.Isabela	ACD1894
luzonensis.ACD2109.Dunoy.SanMarinano.Isabela	ACD2109
luzonensis.ACD2225.Dunoy.SanMarinano.Isabela	ACD2225
luzonensis.ACD222.Dunoy.SanMarinano.Isabela	ACD222
luzonensis.ACD226.Dunoy.SanMarinano.Isabela	ACD226
RMB3636	RMB3636
